,index,best_par,roc,threshold,reg_param
10,10,"{'memory': None, 'steps': [('variancethreshold', VarianceThreshold(threshold=1.3)), ('quadraticdiscriminantanalysis', QuadraticDiscriminantAnalysis(priors=None, reg_param=0.5,
                              store_covariance=False, tol=0.0001))], 'verbose': False, 'variancethreshold': VarianceThreshold(threshold=1.3), 'quadraticdiscriminantanalysis': QuadraticDiscriminantAnalysis(priors=None, reg_param=0.5,
                              store_covariance=False, tol=0.0001), 'variancethreshold__threshold': 1.3, 'quadraticdiscriminantanalysis__priors': None, 'quadraticdiscriminantanalysis__reg_param': 0.5, 'quadraticdiscriminantanalysis__store_covariance': False, 'quadraticdiscriminantanalysis__tol': 0.0001}",0.9744749271430008,1.3,0.5
11,11,"{'memory': None, 'steps': [('variancethreshold', VarianceThreshold(threshold=1.2000000000000002)), ('quadraticdiscriminantanalysis', QuadraticDiscriminantAnalysis(priors=None, reg_param=0.5,
                              store_covariance=False, tol=0.0001))], 'verbose': False, 'variancethreshold': VarianceThreshold(threshold=1.2000000000000002), 'quadraticdiscriminantanalysis': QuadraticDiscriminantAnalysis(priors=None, reg_param=0.5,
                              store_covariance=False, tol=0.0001), 'variancethreshold__threshold': 1.2000000000000002, 'quadraticdiscriminantanalysis__priors': None, 'quadraticdiscriminantanalysis__reg_param': 0.5, 'quadraticdiscriminantanalysis__store_covariance': False, 'quadraticdiscriminantanalysis__tol': 0.0001}",0.957741935483871,1.2000000000000002,0.5
12,12,"{'memory': None, 'steps': [('variancethreshold', VarianceThreshold(threshold=1.2000000000000002)), ('quadraticdiscriminantanalysis', QuadraticDiscriminantAnalysis(priors=None, reg_param=0.9,
                              store_covariance=False, tol=0.0001))], 'verbose': False, 'variancethreshold': VarianceThreshold(threshold=1.2000000000000002), 'quadraticdiscriminantanalysis': QuadraticDiscriminantAnalysis(priors=None, reg_param=0.9,
                              store_covariance=False, tol=0.0001), 'variancethreshold__threshold': 1.2000000000000002, 'quadraticdiscriminantanalysis__priors': None, 'quadraticdiscriminantanalysis__reg_param': 0.9, 'quadraticdiscriminantanalysis__store_covariance': False, 'quadraticdiscriminantanalysis__tol': 0.0001}",0.9121457489878542,1.2000000000000002,0.9
13,13,"{'memory': None, 'steps': [('variancethreshold', VarianceThreshold(threshold=1.4000000000000001)), ('quadraticdiscriminantanalysis', QuadraticDiscriminantAnalysis(priors=None, reg_param=0.8,
                              store_covariance=False, tol=0.0001))], 'verbose': False, 'variancethreshold': VarianceThreshold(threshold=1.4000000000000001), 'quadraticdiscriminantanalysis': QuadraticDiscriminantAnalysis(priors=None, reg_param=0.8,
                              store_covariance=False, tol=0.0001), 'variancethreshold__threshold': 1.4000000000000001, 'quadraticdiscriminantanalysis__priors': None, 'quadraticdiscriminantanalysis__reg_param': 0.8, 'quadraticdiscriminantanalysis__store_covariance': False, 'quadraticdiscriminantanalysis__tol': 0.0001}",0.9774659863945576,1.4000000000000001,0.8
14,14,"{'memory': None, 'steps': [('variancethreshold', VarianceThreshold(threshold=1.3)), ('quadraticdiscriminantanalysis', QuadraticDiscriminantAnalysis(priors=None, reg_param=0.6000000000000001,
                              store_covariance=False, tol=0.0001))], 'verbose': False, 'variancethreshold': VarianceThreshold(threshold=1.3), 'quadraticdiscriminantanalysis': QuadraticDiscriminantAnalysis(priors=None, reg_param=0.6000000000000001,
                              store_covariance=False, tol=0.0001), 'variancethreshold__threshold': 1.3, 'quadraticdiscriminantanalysis__priors': None, 'quadraticdiscriminantanalysis__reg_param': 0.6000000000000001, 'quadraticdiscriminantanalysis__store_covariance': False, 'quadraticdiscriminantanalysis__tol': 0.0001}",0.9821428571428572,1.3,0.6000000000000001
15,15,"{'memory': None, 'steps': [('variancethreshold', VarianceThreshold(threshold=1.3)), ('quadraticdiscriminantanalysis', QuadraticDiscriminantAnalysis(priors=None, reg_param=0.2,
                              store_covariance=False, tol=0.0001))], 'verbose': False, 'variancethreshold': VarianceThreshold(threshold=1.3), 'quadraticdiscriminantanalysis': QuadraticDiscriminantAnalysis(priors=None, reg_param=0.2,
                              store_covariance=False, tol=0.0001), 'variancethreshold__threshold': 1.3, 'quadraticdiscriminantanalysis__priors': None, 'quadraticdiscriminantanalysis__reg_param': 0.2, 'quadraticdiscriminantanalysis__store_covariance': False, 'quadraticdiscriminantanalysis__tol': 0.0001}",0.9530075187969924,1.3,0.2
16,16,"{'memory': None, 'steps': [('variancethreshold', VarianceThreshold(threshold=1.3)), ('quadraticdiscriminantanalysis', QuadraticDiscriminantAnalysis(priors=None, reg_param=0.4,
                              store_covariance=False, tol=0.0001))], 'verbose': False, 'variancethreshold': VarianceThreshold(threshold=1.3), 'quadraticdiscriminantanalysis': QuadraticDiscriminantAnalysis(priors=None, reg_param=0.4,
                              store_covariance=False, tol=0.0001), 'variancethreshold__threshold': 1.3, 'quadraticdiscriminantanalysis__priors': None, 'quadraticdiscriminantanalysis__reg_param': 0.4, 'quadraticdiscriminantanalysis__store_covariance': False, 'quadraticdiscriminantanalysis__tol': 0.0001}",0.9608776844070962,1.3,0.4
17,17,"{'memory': None, 'steps': [('variancethreshold', VarianceThreshold(threshold=1.3)), ('quadraticdiscriminantanalysis', QuadraticDiscriminantAnalysis(priors=None, reg_param=0.5,
                              store_covariance=False, tol=0.0001))], 'verbose': False, 'variancethreshold': VarianceThreshold(threshold=1.3), 'quadraticdiscriminantanalysis': QuadraticDiscriminantAnalysis(priors=None, reg_param=0.5,
                              store_covariance=False, tol=0.0001), 'variancethreshold__threshold': 1.3, 'quadraticdiscriminantanalysis__priors': None, 'quadraticdiscriminantanalysis__reg_param': 0.5, 'quadraticdiscriminantanalysis__store_covariance': False, 'quadraticdiscriminantanalysis__tol': 0.0001}",0.9746056175452096,1.3,0.5
18,18,"{'memory': None, 'steps': [('variancethreshold', VarianceThreshold(threshold=1.3)), ('quadraticdiscriminantanalysis', QuadraticDiscriminantAnalysis(priors=None, reg_param=0.8,
                              store_covariance=False, tol=0.0001))], 'verbose': False, 'variancethreshold': VarianceThreshold(threshold=1.3), 'quadraticdiscriminantanalysis': QuadraticDiscriminantAnalysis(priors=None, reg_param=0.8,
                              store_covariance=False, tol=0.0001), 'variancethreshold__threshold': 1.3, 'quadraticdiscriminantanalysis__priors': None, 'quadraticdiscriminantanalysis__reg_param': 0.8, 'quadraticdiscriminantanalysis__store_covariance': False, 'quadraticdiscriminantanalysis__tol': 0.0001}",0.9851851851851852,1.3,0.8
19,19,"{'memory': None, 'steps': [('variancethreshold', VarianceThreshold(threshold=1.3)), ('quadraticdiscriminantanalysis', QuadraticDiscriminantAnalysis(priors=None, reg_param=0.8,
                              store_covariance=False, tol=0.0001))], 'verbose': False, 'variancethreshold': VarianceThreshold(threshold=1.3), 'quadraticdiscriminantanalysis': QuadraticDiscriminantAnalysis(priors=None, reg_param=0.8,
                              store_covariance=False, tol=0.0001), 'variancethreshold__threshold': 1.3, 'quadraticdiscriminantanalysis__priors': None, 'quadraticdiscriminantanalysis__reg_param': 0.8, 'quadraticdiscriminantanalysis__store_covariance': False, 'quadraticdiscriminantanalysis__tol': 0.0001}",0.965217391304348,1.3,0.8
